"","WCRNUMBER","LEGACYLOGNUMBER","STATE_WELL_NUMBER","CASING_NUMBER","SITE_CODE.x","LOCAL_WELL_NUMBER","EWM_MASTER_SITE_ID","LATITUDE.x","LONGITUDE.x","ELEVATION","CREATED_DT","PERSON_ID","SITE_CODE.y","SITE_CODE_ROOT","SITE_CODE_SEQ","EWM_ACCESS_RESTRICTION_ID","MODIFIED_DATE.x","MODIFIED_USER.x","MODIFIED_PROC.x","HORZ_COORDINATE_TYPE_ID","VERT_COORDINATE_TYPE_ID","HORZ_MEASUREMENT_METHOD_ID","VERT_MEASUREMENT_METHOD_ID","HORZ_MEASUREMENT_ACCURACY_ID","VERT_MEASUREMENT_ACCURACY_ID","EWM_MASTER_SITE_ACTV","APPL_ID.x","EWM_STATION_ID","EWM_BASIN_PORTION_ID","EWM_BASIN_ID","VERTICAL_MEASURE_METHOD_ID","VERTICAL_MEASURE_ACCURACY_ID","EWM_WELL_COMPLETION_ID","COMPLETION_RPT_NBR_AVAIL","LATEST_RP_ELEVATION","LATEST_GS_ELEVATION","COMPLETION_RPT_NBR","WELL_LOCATION_DESC","SAME_AS_STATE_WELL_NBR","EWM_STATION_USE_ID","EWM_STATION_ACTV","TOTAL_DEPTH_FT","EWM_OCCURRENCE_TYPE_ID","EWM_CONFIDENCE_TYPE_ID","WELL_DEPTH_UNKNOWN","RP_DESC","HAS_WELL_CONSTRUCTION_DATA","ADDL_COMMENTS","LOCAL_WELL_DESIGNATION","MODIFIED_USER.y","MODIFIED_DATE.y","MODIFIED_PROC.y","IS_VOLUNTARY_REPORTING","HORIZONTAL_MEASURE_METHOD_ID","HORIZONTAL_MEASURE_ACCURACY_ID","COUNTY_ID","LATITUDE.y","LONGITUDE.y","EWM_COORDINATE_TYPE_ID","PRIMARY_WELL_ORG_ID","APPL_ID.y","OWNER_ORG_ID"
"1","WCR0003526","00052257","16S25E10J001M",NA,NA,NA,57922,36.5513,119.237,422.7,"2011-05-13 16:30:36",70371,"365513N1192370W001","365513N1192370W",1,3000,"2020-01-27 13:02:12","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",27,33749,NA,349,1,1,1,"N",423.7,422.7,NA,NA,"N",3,"Y",NA,NA,NA,"Y","Casing Access Hole","N",NA,"CASGEM Well ID 33749","bgooding","2020-01-27 13:28:35","SGMA","Y",1,9,54,36.5513,-119.237,6,NA,27,6540
"2","WCR0003437",NA,"04S07E31D001M",NA,NA,NA,71431,37.5505,121.246,187.88,"2011-05-13 16:30:35",70371,"375505N1212460W001","375505N1212460W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,4227,NA,343,0,0,3,"N",188.48,187.88,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,50,37.5505,-121.246,6,NA,24,NA
"3","WCR0003336",NA,"06S12E26N002M",NA,NA,NA,68508,37.376,120.629,155.44,"2011-05-13 16:30:40",70371,"373760N1206291W001","373760N1206291W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,28752,NA,340,0,0,1,"N",155.44,155.44,NA,NA,"N",6,"Y",NA,NA,NA,"Y","None Provided","N",NA,"4A","mcginnis@water.ca.gov","2017-11-03 18:02:50","CASGEM","Y",0,0,24,37.376,-120.629,5,NA,24,NA
"4","WCR0003345",NA,"06S13E31F001M",NA,NA,NA,75170,37.3685,120.585,167.46,"2011-05-13 16:30:38",70371,"373685N1205846W001","373685N1205846W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,27878,NA,340,0,0,1,"N",167.46,167.46,NA,NA,"N",6,"Y",NA,NA,NA,"Y","None Provided","N",NA,"70D","mcginnis@water.ca.gov","2017-11-03 18:02:50","CASGEM","Y",0,0,24,37.3685,-120.585,5,NA,24,NA
"5","WCR0003562",NA,"15S14E06H001M",NA,NA,NA,63957,36.655,120.478,277.53,"2011-05-13 16:30:45",70371,"366550N1204785W001","366550N1204785W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,17529,NA,350,0,0,3,"N",278.53,277.53,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.655,-120.478,6,NA,24,NA
"6","WCR0003563",NA,"15S14E09H001M",NA,NA,NA,63970,36.6414,120.443,247.55,"2011-05-13 16:30:45",70371,"366414N1204429W001","366414N1204429W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,17541,NA,350,0,0,3,"N",247.55,247.55,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.6414,-120.443,6,NA,24,NA
"7","WCR0003564",NA,"15S14E11E001M",NA,NA,NA,63913,36.6425,120.424,223.54,"2011-05-13 16:30:45",70371,"366425N1204241W001","366425N1204241W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,34242,NA,350,0,0,3,"N",225.54,223.54,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.6425,-120.424,6,NA,24,NA
"8","WCR0003566",NA,"15S14E23B003M",NA,NA,NA,63897,36.6164,120.416,211.58,"2011-05-13 16:30:45",70371,"366164N1204157W001","366164N1204157W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,34541,NA,350,0,0,3,"N",211.58,211.58,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.6164,-120.416,6,NA,24,NA
"9","WCR0003573",NA,"15S15E30N002M",NA,NA,NA,74388,36.5892,120.387,211.62,"2011-05-13 16:30:38",70371,"365892N1203871W001","365892N1203871W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,15746,NA,350,0,0,3,"N",211.62,211.62,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.5892,-120.387,6,NA,24,NA
"10","WCR0003356","00049918","09S13E04G001M",NA,NA,NA,59372,37.1816,120.553,125.32,"2011-05-13 16:30:36",70371,"371816N1205535W001","371816N1205535W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,31193,NA,340,0,0,3,"N",126.32,125.32,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,24,37.1816,-120.553,6,NA,24,NA
